,p-values-independent,p-values_i_fdr,significance:p_vlaue_i,significance:p_vlaue_i_fdr
550,2.9934517601087733e-11,1.4674199533450356e-10,True,True
551,6.527702679427781e-05,0.0001394756509426282,True,True
552,5.704582097503502e-06,1.418549816242594e-05,True,True
553,0.004165883748679182,0.0068001173352010644,True,True
554,7.131184324839174e-15,5.5742628602532456e-14,True,True
555,6.916824533059957e-15,5.416506972285166e-14,True,True
556,5.756544977862532e-11,2.732737413920727e-10,True,True
558,1.0035124015882382e-09,4.1167600896311605e-09,True,True
559,0.009590997845972553,0.014821047302010542,True,True
560,0.0008759097684954644,0.0015869261930528734,True,True
561,0.0007013998917910958,0.0012880496577751866,True,True
562,9.836482426299406e-07,2.7140270550123343e-06,True,True
564,0.0006893760894766422,0.0012675861570738687,True,True
566,7.35890824898425e-05,0.00015600090808835798,True,True
568,0.02572674588582683,0.03706359229235748,True,True
569,2.9118555045069273e-24,8.300710204679402e-23,True,True
571,1.1023167574604417e-10,5.078005862701102e-10,True,True
572,2.4314013333528893e-05,5.525185218846509e-05,True,True
573,0.00016838392130378804,0.00033890623797307916,True,True
574,2.6697733520999095e-09,1.0320056983111644e-08,True,True
576,1.339597086202907e-11,6.864888657417745e-11,True,True
577,4.679283492064776e-09,1.754985287134585e-08,True,True
578,9.388442642755092e-24,2.4761121626502934e-22,True,True
579,7.997065434137276e-29,5.135661909840946e-27,True,True
583,8.891516622687038e-11,4.140944205784674e-10,True,True
584,2.8736083370048998e-09,1.106835764141798e-08,True,True
585,5.023977285875068e-16,4.584744195113143e-15,True,True
586,8.200725844802537e-12,4.304695805802608e-11,True,True
587,0.00013407273458915722,0.00027399816515174386,True,True
588,1.5020552420910248e-07,4.6187262917626295e-07,True,True
591,0.016411251247080188,0.024376987557464338,True,True
592,7.918902965548756e-11,3.703276901187189e-10,True,True
594,0.0001976830986004856,0.00039406595064890246,True,True
595,6.023127104968111e-29,3.971355753371149e-27,True,True
599,0.0022910979440438164,0.003897844887074742,True,True
600,0.00033031112353609635,0.0006362245821602368,True,True
601,8.087586271348901e-38,4.366032901173508e-35,True,True
602,0.021183320564647484,0.030941224550121355,True,True
603,0.0050463276030846506,0.008118935047114894,True,True
604,2.730317881182028e-07,8.123706751191789e-07,True,True
605,0.0003283331656020446,0.0006326776838567005,True,True
606,2.3735485005877183e-18,2.950303329382269e-17,True,True
607,2.1285231493653921e-10,9.457365587779617e-10,True,True
608,5.1233549272696974e-06,1.282695019834551e-05,True,True
609,2.955068527214966e-16,2.7789226351463543e-15,True,True
611,1.0462888516571616e-06,2.875837694889016e-06,True,True
612,1.3935595832979046e-22,3.1386886312218127e-21,True,True
613,4.369001212326913e-06,1.1052056808163336e-05,True,True
614,1.595538185244732e-05,3.7232098000949266e-05,True,True
615,5.601433073200849e-18,6.627723036955114e-17,True,True
616,1.953462824428006e-06,5.181340440963274e-06,True,True
617,1.1772105899077625e-11,6.070541176315403e-11,True,True
620,1.9503754164278308e-10,8.699389444562556e-10,True,True
621,9.13103585858674e-26,3.306889820903269e-24,True,True
623,2.1686110945097598e-18,2.716661106429014e-17,True,True
624,4.499855803019721e-09,1.6906265549622813e-08,True,True
625,4.553961879711291e-05,9.944342241437562e-05,True,True
627,0.00032111389386947013,0.0006196651604775577,True,True
628,9.937601369418622e-25,3.0384436045434814e-23,True,True
629,1.0269743910507903e-08,3.679938312674217e-08,True,True
630,7.673416286885403e-10,3.202664082047483e-09,True,True
632,3.296529076286423e-11,1.6059655891948098e-10,True,True
634,6.339022836662182e-05,0.00013576322775023456,True,True
635,2.973411895705294e-07,8.798508136058402e-07,True,True
636,0.000310522711509133,0.0006005687238379167,True,True
637,0.022180324961375158,0.03228556738353184,True,True
639,7.977242377193752e-28,4.279716213230499e-26,True,True
640,7.924770302412185e-16,7.042202004844162e-15,True,True
641,8.39742417636002e-05,0.00017637143178920284,True,True
643,5.0796176186453894e-11,2.4233746026539384e-10,True,True
644,5.369960669300999e-05,0.00011616086972473673,True,True
645,0.00026106901228047113,0.0005112182257022375,True,True
646,4.423595033670507e-10,1.8962184666664517e-09,True,True
647,2.4459853860916732e-15,2.0149927298394686e-14,True,True
648,6.773805536919684e-10,2.8402303555895038e-09,True,True
650,0.002318531009733878,0.003941799349783756,True,True
651,1.0067750029041184e-30,9.251084135728003e-29,True,True
652,3.7657456762671166e-05,8.305024455191427e-05,True,True
654,2.6062291486567004e-10,1.1453220183933986e-09,True,True
656,2.6285314771915845e-11,1.2992240706290308e-10,True,True
657,7.885456409866531e-10,3.2818695761016807e-09,True,True
658,2.6137925173241674e-05,5.9155333075822076e-05,True,True
659,6.826547758163631e-13,4.117619152314132e-12,True,True
660,3.7432646048108154e-09,1.4218340369220684e-08,True,True
663,9.009285443810416e-13,5.357501068565402e-12,True,True
664,8.08278324651671e-14,5.527714987473324e-13,True,True
665,0.0008257605876678333,0.001501422392586235,True,True
666,0.0016410903621467703,0.0028541061115559705,True,True
667,0.00019771576035218302,0.0003940855844102875,True,True
669,1.4659468074120865e-06,3.954439584329137e-06,True,True
670,0.021616120497355656,0.031536059588870784,True,True
671,1.6460709624648965e-06,4.404565656223836e-06,True,True
673,0.005016714201510058,0.008076016944468014,True,True
674,0.0002792010150030211,0.0005436426436178077,True,True
675,0.0006341799288887871,0.001172333683419347,True,True
676,1.492448643751781e-11,7.621061283125042e-11,True,True
678,1.5728056275683427e-18,2.005182082379566e-17,True,True
679,1.1652353218512511e-10,5.350728385162244e-10,True,True
680,5.0828741752344824e-05,0.00011032372330339952,True,True
